"V1" "V2"
"532" "ola_mES_lif_1_92.counts" "Nanog_hi"
"533" "ola_mES_lif_1_93.counts" "Nanog_hi"
"534" "ola_mES_lif_1_95.counts" "Nanog_hi"
"535" "ola_mES_lif_1_96.counts" "Nanog_med"
"536" "ola_mES_lif_2_1.counts" "Nanog_hi"
"537" "ola_mES_lif_2_10.counts" "Nanog_hi"
"538" "ola_mES_lif_2_11.counts" "Nanog_hi"
"539" "ola_mES_lif_2_12.counts" "Nanog_lo"
"540" "ola_mES_lif_2_13.counts" "Nanog_med"
"541" "ola_mES_lif_2_14.counts" "Nanog_med"
"542" "ola_mES_lif_2_15.counts" "Nanog_hi"
"543" "ola_mES_lif_2_16.counts" "Nanog_hi"
"544" "ola_mES_lif_2_17.counts" "Nanog_hi"
"545" "ola_mES_lif_2_18.counts" "Nanog_hi"
"546" "ola_mES_lif_2_19.counts" "Nanog_hi"
"547" "ola_mES_lif_2_2.counts" "Nanog_hi"
"548" "ola_mES_lif_2_20.counts" "Nanog_med"
"549" "ola_mES_lif_2_21.counts" "Nanog_med"
"550" "ola_mES_lif_2_23.counts" "Nanog_hi"
"551" "ola_mES_lif_2_25.counts" "Nanog_hi"
"552" "ola_mES_lif_2_26.counts" "Nanog_hi"
"553" "ola_mES_lif_2_27.counts" "Nanog_hi"
"554" "ola_mES_lif_2_28.counts" "Nanog_hi"
"555" "ola_mES_lif_2_29.counts" "Nanog_hi"
"556" "ola_mES_lif_2_3.counts" "Nanog_hi"
"557" "ola_mES_lif_2_30.counts" "Nanog_lo"
"558" "ola_mES_lif_2_31.counts" "Nanog_med"
"559" "ola_mES_lif_2_32.counts" "Nanog_hi"
"560" "ola_mES_lif_2_33.counts" "Nanog_hi"
"561" "ola_mES_lif_2_34.counts" "Nanog_med"
"562" "ola_mES_lif_2_35.counts" "Nanog_hi"
"563" "ola_mES_lif_2_36.counts" "Nanog_med"
"564" "ola_mES_lif_2_37.counts" "Nanog_hi"
"565" "ola_mES_lif_2_38.counts" "Nanog_hi"
"566" "ola_mES_lif_2_39.counts" "Nanog_hi"
"567" "ola_mES_lif_2_4.counts" "Nanog_hi"
"568" "ola_mES_lif_2_40.counts" "Nanog_med"
"569" "ola_mES_lif_2_41.counts" "Nanog_med"
"570" "ola_mES_lif_2_42.counts" "Nanog_hi"
"571" "ola_mES_lif_2_43.counts" "Nanog_hi"
"572" "ola_mES_lif_2_44.counts" "Nanog_hi"
"573" "ola_mES_lif_2_45.counts" "Nanog_lo"
"574" "ola_mES_lif_2_46.counts" "Nanog_hi"
"575" "ola_mES_lif_2_47.counts" "Nanog_hi"
"576" "ola_mES_lif_2_48.counts" "Nanog_lo"
"577" "ola_mES_lif_2_49.counts" "Nanog_hi"
"578" "ola_mES_lif_2_5.counts" "Nanog_med"
"579" "ola_mES_lif_2_50.counts" "Nanog_hi"
"580" "ola_mES_lif_2_51.counts" "Nanog_hi"
"581" "ola_mES_lif_2_52.counts" "Nanog_hi"
"582" "ola_mES_lif_2_53.counts" "Nanog_lo"
"583" "ola_mES_lif_2_54.counts" "Nanog_hi"
"584" "ola_mES_lif_2_55.counts" "Nanog_hi"
"585" "ola_mES_lif_2_56.counts" "Nanog_lo"
"586" "ola_mES_lif_2_57.counts" "Nanog_lo"
"587" "ola_mES_lif_2_58.counts" "Nanog_lo"
"588" "ola_mES_lif_2_59.counts" "Nanog_hi"
"589" "ola_mES_lif_2_6.counts" "Nanog_hi"
"590" "ola_mES_lif_2_60.counts" "Nanog_hi"
"591" "ola_mES_lif_2_61.counts" "Nanog_med"
"592" "ola_mES_lif_2_63.counts" "Nanog_hi"
"593" "ola_mES_lif_2_64.counts" "Nanog_hi"
"594" "ola_mES_lif_2_65.counts" "Nanog_hi"
"595" "ola_mES_lif_2_66.counts" "Nanog_hi"
"596" "ola_mES_lif_2_67.counts" "Nanog_hi"
"597" "ola_mES_lif_2_68.counts" "Nanog_hi"
"598" "ola_mES_lif_2_69.counts" "Nanog_med"
"599" "ola_mES_lif_2_7.counts" "Nanog_hi"
"600" "ola_mES_lif_2_70.counts" "Nanog_med"
"601" "ola_mES_lif_2_71.counts" "Nanog_med"
"602" "ola_mES_lif_2_72.counts" "Nanog_med"
"603" "ola_mES_lif_2_73.counts" "Nanog_lo"
"604" "ola_mES_lif_2_74.counts" "Nanog_hi"
"605" "ola_mES_lif_2_75.counts" "Nanog_lo"
"606" "ola_mES_lif_2_76.counts" "Nanog_lo"
"607" "ola_mES_lif_2_77.counts" "Nanog_hi"
"608" "ola_mES_lif_2_79.counts" "Nanog_hi"
"609" "ola_mES_lif_2_8.counts" "Nanog_hi"
"610" "ola_mES_lif_2_80.counts" "Nanog_hi"
"611" "ola_mES_lif_2_81.counts" "Nanog_hi"
"612" "ola_mES_lif_2_82.counts" "Nanog_hi"
"613" "ola_mES_lif_2_83.counts" "Nanog_hi"
"614" "ola_mES_lif_2_84.counts" "Nanog_hi"
"615" "ola_mES_lif_2_86.counts" "Nanog_hi"
"616" "ola_mES_lif_2_87.counts" "Nanog_hi"
"617" "ola_mES_lif_2_89.counts" "Nanog_hi"
"618" "ola_mES_lif_2_9.counts" "Nanog_med"
"619" "ola_mES_lif_2_90.counts" "Nanog_hi"
"620" "ola_mES_lif_2_91.counts" "Nanog_lo"
"621" "ola_mES_lif_2_92.counts" "Nanog_hi"
"622" "ola_mES_lif_2_93.counts" "Nanog_hi"
"623" "ola_mES_lif_2_94.counts" "Nanog_hi"
"624" "ola_mES_lif_2_95.counts" "Nanog_hi"
"625" "ola_mES_lif_2_96.counts" "Nanog_med"
"626" "ola_mES_lif_3_1.counts" "Nanog_hi"
"627" "ola_mES_lif_3_10.counts" "Nanog_hi"
"628" "ola_mES_lif_3_11.counts" "Nanog_med"
"629" "ola_mES_lif_3_12.counts" "Nanog_hi"
"630" "ola_mES_lif_3_13.counts" "Nanog_lo"
"631" "ola_mES_lif_3_14.counts" "Nanog_lo"
"632" "ola_mES_lif_3_15.counts" "Nanog_hi"
"633" "ola_mES_lif_3_16.counts" "Nanog_lo"
"634" "ola_mES_lif_3_17.counts" "Nanog_lo"
"635" "ola_mES_lif_3_19.counts" "Nanog_med"
"636" "ola_mES_lif_3_2.counts" "Nanog_hi"
"637" "ola_mES_lif_3_20.counts" "Nanog_lo"
"638" "ola_mES_lif_3_21.counts" "Nanog_hi"
"639" "ola_mES_lif_3_22.counts" "Nanog_hi"
"640" "ola_mES_lif_3_23.counts" "Nanog_med"
"641" "ola_mES_lif_3_24.counts" "Nanog_lo"
"642" "ola_mES_lif_3_26.counts" "Nanog_hi"
"643" "ola_mES_lif_3_27.counts" "Nanog_hi"
"644" "ola_mES_lif_3_28.counts" "Nanog_med"
"645" "ola_mES_lif_3_29.counts" "Nanog_hi"
"646" "ola_mES_lif_3_3.counts" "Nanog_hi"
"647" "ola_mES_lif_3_30.counts" "Nanog_lo"
"648" "ola_mES_lif_3_31.counts" "Nanog_med"
"649" "ola_mES_lif_3_32.counts" "Nanog_hi"
"650" "ola_mES_lif_3_33.counts" "Nanog_lo"
"651" "ola_mES_lif_3_34.counts" "Nanog_lo"
"652" "ola_mES_lif_3_35.counts" "Nanog_lo"
"653" "ola_mES_lif_3_36.counts" "Nanog_hi"
"654" "ola_mES_lif_3_37.counts" "Nanog_hi"
"655" "ola_mES_lif_3_38.counts" "Nanog_hi"
"656" "ola_mES_lif_3_39.counts" "Nanog_med"
"657" "ola_mES_lif_3_4.counts" "Nanog_hi"
"658" "ola_mES_lif_3_40.counts" "Nanog_hi"
"659" "ola_mES_lif_3_42.counts" "Nanog_med"
"660" "ola_mES_lif_3_45.counts" "Nanog_med"
"661" "ola_mES_lif_3_46.counts" "Nanog_lo"
"662" "ola_mES_lif_3_47.counts" "Nanog_lo"
"663" "ola_mES_lif_3_48.counts" "Nanog_hi"
"664" "ola_mES_lif_3_49.counts" "Nanog_lo"
"665" "ola_mES_lif_3_5.counts" "Nanog_hi"
"666" "ola_mES_lif_3_50.counts" "Nanog_hi"
"667" "ola_mES_lif_3_51.counts" "Nanog_hi"
"668" "ola_mES_lif_3_52.counts" "Nanog_hi"
"669" "ola_mES_lif_3_53.counts" "Nanog_lo"
"670" "ola_mES_lif_3_54.counts" "Nanog_hi"
"671" "ola_mES_lif_3_56.counts" "Nanog_hi"
"672" "ola_mES_lif_3_57.counts" "Nanog_hi"
"673" "ola_mES_lif_3_58.counts" "Nanog_med"
"674" "ola_mES_lif_3_59.counts" "Nanog_hi"
"675" "ola_mES_lif_3_6.counts" "Nanog_hi"
"676" "ola_mES_lif_3_60.counts" "Nanog_hi"
"677" "ola_mES_lif_3_61.counts" "Nanog_med"
"678" "ola_mES_lif_3_63.counts" "Nanog_med"
"679" "ola_mES_lif_3_64.counts" "Nanog_hi"
"680" "ola_mES_lif_3_65.counts" "Nanog_hi"
"681" "ola_mES_lif_3_69.counts" "Nanog_lo"
"682" "ola_mES_lif_3_70.counts" "Nanog_lo"
"683" "ola_mES_lif_3_71.counts" "Nanog_lo"
"684" "ola_mES_lif_3_72.counts" "Nanog_lo"
"685" "ola_mES_lif_3_73.counts" "Nanog_lo"
"686" "ola_mES_lif_3_74.counts" "Nanog_lo"
"687" "ola_mES_lif_3_75.counts" "Nanog_hi"
"688" "ola_mES_lif_3_76.counts" "Nanog_lo"
"689" "ola_mES_lif_3_77.counts" "Nanog_hi"
"690" "ola_mES_lif_3_78.counts" "Nanog_med"
"691" "ola_mES_lif_3_8.counts" "Nanog_hi"
"692" "ola_mES_lif_3_80.counts" "Nanog_med"
"693" "ola_mES_lif_3_82.counts" "Nanog_hi"
"694" "ola_mES_lif_3_83.counts" "Nanog_hi"
"695" "ola_mES_lif_3_84.counts" "Nanog_hi"
"696" "ola_mES_lif_3_87.counts" "Nanog_hi"
"697" "ola_mES_lif_3_88.counts" "Nanog_lo"
"698" "ola_mES_lif_3_89.counts" "Nanog_med"
"699" "ola_mES_lif_3_9.counts" "Nanog_hi"
"700" "ola_mES_lif_3_90.counts" "Nanog_lo"
"701" "ola_mES_lif_3_92.counts" "Nanog_lo"
"702" "ola_mES_lif_3_94.counts" "Nanog_lo"
"703" "ola_mES_lif_3_95.counts" "Nanog_lo"
"704" "ola_mES_lif_3_96.counts" "Nanog_lo"
